Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura testSuite,Chrome 112.0.5615.138,,,2023-05-01 13:20:38,2023-05-01 13:20:58,20.630s,PASSED
,,,,,,,
Test Cases/cura test case,Chrome 112.0.5615.138,,,2023-05-01 13:20:38,2023-05-01 13:20:58,19.903s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:40,2023-05-01 13:20:48,8.032s,PASSED
maximizeWindow(),Chrome 112.0.5615.138,,,2023-05-01 13:20:48,2023-05-01 13:20:48,0.207s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/01_Make Appointment""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:48,2023-05-01 13:20:49,1.047s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/02_input_Username""), ""John Doe"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:49,2023-05-01 13:20:49,0.427s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/03t_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:49,2023-05-01 13:20:50,0.387s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/04_button_Login""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:50,2023-05-01 13:20:51,0.993s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Chrome 112.0.5615.138,,,2023-05-01 13:20:51,2023-05-01 13:20:51,0.505s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Seoul CURA Healthcare Center"", true)",Chrome 112.0.5615.138,,,2023-05-01 13:20:51,2023-05-01 13:20:52,0.423s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Tokyo CURA Healthcare Center"", true)",Chrome 112.0.5615.138,,,2023-05-01 13:20:52,2023-05-01 13:20:52,0.408s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/06_input_Apply for hospital""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:52,2023-05-01 13:20:52,0.247s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06_input_Apply for hospital""), 2)",Chrome 112.0.5615.138,,,2023-05-01 13:20:52,2023-05-01 13:20:53,0.250s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06z_radio Medicare""), 2)",Chrome 112.0.5615.138,,,2023-05-01 13:20:53,2023-05-01 13:20:53,0.221s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/07_input_Medicaid_programs""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:53,2023-05-01 13:20:53,0.263s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/07_input_Medicaid_programs""), 2)",Chrome 112.0.5615.138,,,2023-05-01 13:20:53,2023-05-01 13:20:53,0.224s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/08_input_None_programs""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:53,2023-05-01 13:20:54,0.259s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/08_input_None_programs""), 2)",Chrome 112.0.5615.138,,,2023-05-01 13:20:54,2023-05-01 13:20:54,0.212s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/09_input Visit Date""), ""10/05/2000"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:54,2023-05-01 13:20:54,0.389s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/10_comment section""), ""hello this dummy desc"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:54,2023-05-01 13:20:55,0.379s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/11_Book Appointment""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:55,2023-05-01 13:20:55,0.772s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/12_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 112.0.5615.138,,,2023-05-01 13:20:55,2023-05-01 13:20:56,0.290s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/13_ Homepage""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:56,2023-05-01 13:20:56,0.733s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/14_cura menu""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:56,2023-05-01 13:20:57,0.264s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/15_Logout""))",Chrome 112.0.5615.138,,,2023-05-01 13:20:57,2023-05-01 13:20:58,0.935s,PASSED
closeBrowser(),Chrome 112.0.5615.138,,,2023-05-01 13:20:58,2023-05-01 13:20:58,0.720s,PASSED
